"Código";"Município";"Municipio";"Área_km_";"Densidade_demográfica_2000";"Distância_à_capital_km_";"Esperança_de_vida_ao_nascer_2000";"Mortalidade_até_um_ano_de_idade_2000";"Taxa_de_fecundidade_total_2000";"Percentual_de_pessoas_de_25_anos_ou_mais_analfabetas_2000";"Renda_per_Capita_2000";"Índice_de_Gini_2000";"Intensidade_da_indigência_2000";"Intensidade_da_pobreza_2000";"Índice_de_Desenvolvimento_Humano_Municipal_2000";"Taxa_bruta_de_freqüência_à_escola_2000";"Taxa_de_alfabetização_2000";"Média_de_anos_de_estudo_das_pessoas_de_25_anos_ou_mais_de_idade_2000";"População_de_25_anos_ou_mais_de_idade_1991";"População_de_25_anos_ou_mais_de_idade_2000";"População_de_65_anos_ou_mais_de_idade_1991";"População_de_65_anos_ou_mais_de_idade_2000";"População_total_1991";"População_total_2000";"População_urbana_2000";"População_rural_2000"
"26";520013;"Acreúna (GO)";"Acreúna";1571.1;11.6;143.466666;70.09;21.13;2.22;21.78;249.96;0.6;59.73;39.57;0.763;90.65;81.37;4.39;6024;9114;358;744;14059;18301;15883;2418
"27";210005;"Açailândia (MA)";"Açailândia";6431;13.7;445.167847;62.3;52.16;3.27;30.64;148.62;0.63;45.89;45.18;0.666;80.52;75.13;3.78;22384;35029;1399;2707;63626;88320;64164;24156
"28";240020;"Açu (RN)";"Açu";1297.5;36.9;189.528822;65.66;47.56;2.83;33.25;141.27;0.6;51.25;47.1;0.677;84.01;71.13;4.65;17996;22733;2723;3029;43591;47904;34645;13259
"29";310050;"Açucena (MG)";"Açucena";814;14.1;169.299025;67.89;35.44;2.58;31.68;90.49;0.56;53.99;52.01;0.659;73.48;73.99;2.97;5400;5559;865;1039;12399;11489;4579;6910
"30";350010;"Adamantina (SP)";"Adamantina";412.9;81.1;499.95106;71.71;14.96;1.98;12.11;354.98;0.54;42.19;33.3;0.812;89.73;90.52;6.37;17154;19917;2296;3264;32091;33497;30368;3129
"31";520015;"Adelândia (GO)";"Adelândia";115.7;21.5;101.477113;68.61;24.88;2.46;25.58;164.76;0.56;45.25;40.67;0.715;79.69;79.25;4.07;1007;1288;64;160;2339;2460;2039;421
"32";350020;"Adolfo (SP)";"Adolfo";211.4;17.4;401.929257;76.77;7.12;2.02;17.06;238.02;0.45;48.48;35.02;0.795;77.36;86.86;4.78;1673;2096;210;298;3272;3684;3071;613
"33";410020;"Adrianópolis (PR)";"Adrianópolis";1333;5.3;90.254798;69.87;18.94;3.21;31.63;115.6;0.59;65.88;58.81;0.683;72.23;74.09;3.67;3839;3366;501;568;8935;7007;1613;5394
"34";290035;"Adustina (BA)";"Adustina";636;22.6;274.575021;56.31;78.58;3.21;54.73;85.81;0.52;42.28;50.48;0.551;75.6;54.5;1.72;5126;6236;724;864;13714;14302;4484;9818
"35";260010;"Afogados da Ingazeira (PE)";"Afogados da Ingazeira";386;85.3;305.419164;68.66;42.39;2.64;36.78;140.66;0.66;55.05;55.8;0.683;75.99;70.52;4.16;12690;15584;2036;2469;29617;32922;23149;9773
"36";240030;"Afonso Bezerra (RN)";"Afonso Bezerra";560.8;19.4;147.171235;65.5;48.17;2.29;47.15;92.47;0.62;53.79;58.48;0.629;83.78;60.59;3.23;4374;5279;666;907;10733;10867;6500;4367
"37";320010;"Afonso Claúdio (ES)";"Afonso Claúdio";955.2;33.7;86.372693;69.39;25.23;2.4;22.67;183.75;0.55;47.49;44;0.717;65.91;82.44;4.2;13866;16334;1630;2170;31570;32232;14463;17769
"38";210010;"Afonso Cunha (MA)";"Afonso Cunha";372.6;12.6;208.620223;60.71;58.54;4.45;53.99;49.05;0.53;48.35;61.57;0.558;80.89;57.78;2;1474;1752;202;235;4580;4680;2255;2425
"39";260020;"Afrânio (PE)";"Afrânio";1488.6;10.1;675.33479;68.35;43.61;3.23;45.61;71.18;0.57;51.32;59.48;0.634;80.17;64.33;2.18;5168;6584;738;935;13305;15014;3985;11029
"40";150030;"Afuá (PA)";"Afuá";8410.3;3.5;254.176781;69.72;28.67;5.8;52.49;75.02;0.48;41.32;48.88;0.612;66.66;56.39;1.66;6097;9415;620;983;20008;29505;6782;22723
"41";260030;"Agrestina (PE)";"Agrestina";198;101.2;125.32261;64.41;60.72;3.46;51.45;108.04;0.63;54.98;53.36;0.612;73.65;57.04;2.82;7604;9455;1431;1705;17993;20036;12895;7141
"42";220010;"Agricolândia (PI)";"Agricolândia";99.2;53.8;80.255227;65.35;41.11;2.75;41.64;66.68;0.49;49.05;55.66;0.622;82.3;66.76;3.51;2201;2450;302;395;5457;5340;3942;1398
"43";420020;"Agrolândia (SC)";"Agrolândia";192.3;40.6;127.529026;73.28;17.4;2.86;8.7;213.5;0.47;42.05;37.04;0.775;70.34;92.82;4.73;4040;4219;456;494;8565;7810;4634;3176
"44";420030;"Agronômica (SC)";"Agronômica";116.7;36.5;120.394704;76.01;11.55;2.08;7;267.32;0.46;30.97;31.22;0.811;77.1;93.08;4.51;2059;2359;207;275;4317;4257;872;3385
"45";350030;"Aguaí (SP)";"Aguaí";474.6;59.3;169.146726;71.55;15.24;2.59;11.66;308.12;0.56;58.41;29.82;0.786;76.05;89.93;5.27;11737;15081;1364;2033;23363;28195;24708;3487
"46";310080;"Aguanil (MG)";"Aguanil";235.8;15.1;195.088332;72.85;20.68;2.39;19.87;196.55;0.49;36.73;30.44;0.741;67.24;82.04;4.17;1668;2037;231;324;3197;3562;1869;1693
"47";430010;"Agudo (RS)";"Agudo";533.1;32.7;198.477067;73.23;14.51;2.37;9.94;277.63;0.53;46.7;35.67;0.786;69.92;91.54;4.84;8912;10125;1158;1514;16718;17455;5655;11800
"48";350070;"Agudos (SP)";"Agudos";970;33.5;268.77905;70.79;16.67;2.23;10.31;266.32;0.54;55.47;45.8;0.786;83.85;91.39;5.97;13872;16504;1518;1961;30051;32484;30692;1792
"49";410030;"Agudos do Sul (PR)";"Agudos do Sul";191.7;37.6;63.088912;67.23;25.07;2.81;15.72;153.99;0.56;48.13;46.01;0.712;71.47;87.12;4.13;2656;3592;323;441;6076;7221;1466;5755
"50";250020;"Aguiar (PB)";"Aguiar";385.9;14.6;364.771696;61.51;55.3;3.33;54.72;60.38;0.53;53.78;61.35;0.56;75.51;54.56;2.51;2641;2602;423;473;6771;5638;2201;3437
"51";170030;"Aguiarnópolis (TO)";"Aguiarnópolis";239.8;13.1;411.659297;60.41;61.71;3.71;33.9;89.29;0.63;61.01;59.68;0.629;82.95;74.65;3.39;900;1250;102;147;2482;3145;2304;841
"52";310110;"Aimorés (MG)";"Aimorés";1353.4;18.5;304.722904;72.29;22.16;2.05;22.54;179.09;0.57;43.72;39.29;0.731;69.57;80.31;4.59;12592;13709;1755;2252;26440;25105;18764;6341
"53";290060;"Aiquara (BA)";"Aiquara";195.9;27.1;196.683382;62.65;50.83;3.57;40.56;86.14;0.56;47.49;54.02;0.627;86.36;67.36;2.7;2481;2330;336;432;6612;5315;2726;2589
"54";230040;"Aiuaba (CE)";"Aiuaba";2471.6;5.8;362.485931;61.93;64.71;4.11;51.07;51.76;0.66;67.6;69.28;0.566;83.46;56.13;2.02;5158;6223;803;953;13219;14452;3162;11290
"55";310120;"Aiuruoca (MG)";"Aiuruoca";651.8;9.9;249.131223;70.64;26.76;2.18;18.88;207.12;0.61;37.45;35.8;0.736;69.16;82.85;4.25;3351;3698;415;580;6616;6469;3020;3449
