,emb0,emb1,emb2,emb3,emb4,emb5
100,11.391802,2.9842458,11.364909,7.604142,12.203627,-2.0911837
101,12.210548,3.4174979,11.864336,7.430344,9.372373,-0.14734454
102,11.849313,3.3815792,11.622551,7.387364,10.946847,-1.7803968
103,10.818715,2.019658,10.579727,8.60129,15.876075,-3.7610443
104,11.5241375,2.591567,11.411497,7.518458,12.71063,-2.3632183
105,10.929707,2.8917289,10.6602955,8.306887,15.959266,-3.7128482
106,12.276038,3.4026275,12.149944,7.565319,9.749907,-1.5245221
107,11.689748,1.9315745,12.183014,7.378577,9.882572,-1.1097612
108,11.352445,2.3317742,10.52309,8.375518,15.941793,-3.7671058
109,11.584827,3.1541824,10.927021,6.7466307,9.453614,-0.8936992
110,11.116075,2.787036,10.664723,7.778245,13.829984,-2.431074
111,12.277517,3.3944316,12.153316,7.4515457,9.327028,-0.7641064
112,11.732727,2.7050285,11.617606,6.5862393,8.673996,-1.1052543
113,10.858778,2.0054772,10.645685,8.932338,16.205008,-4.2896
114,11.320681,2.4971712,11.496354,7.620989,12.360461,-2.242418
115,10.499541,2.2204807,10.713358,8.586552,16.386684,-3.9359953
116,11.843259,3.6929188,11.342968,6.7793927,9.603759,-1.0474886
117,11.777423,2.5841143,11.8679085,6.5849853,8.43312,-1.1240734
118,11.465008,3.5741112,11.400421,7.5709505,12.628194,-2.2812078
119,11.512582,2.2737586,12.006025,7.1470757,10.019362,-0.8483306
120,12.000886,2.008125,11.137,7.9769673,12.940274,-2.7739465
121,11.749592,2.1736782,11.968886,6.5447674,8.070453,-0.852024
122,11.60469,3.529241,10.680395,7.010854,10.686058,-1.0084271
123,12.043074,3.373118,10.872331,7.511613,11.008251,-1.6398505
124,11.54159,1.7103206,12.2664995,7.18115,9.698273,-1.249838
125,11.637799,1.7815968,10.968099,7.9428267,15.503245,-3.4509442
126,11.909836,2.4409802,10.612255,8.055372,12.046116,-2.1242476
127,11.048887,2.6146014,11.2555,7.411244,12.698809,-1.9868267
128,11.682294,3.1697686,10.898294,7.4347997,11.14574,-1.6672132
129,12.1240425,2.8847294,12.153317,7.5538507,9.670964,-1.4406412
130,11.084863,3.4893093,10.851357,7.999841,14.63035,-3.1446433
131,11.774725,3.543967,11.089683,7.309539,11.215222,-1.6415149
132,11.333376,2.3143601,11.444844,7.2841725,12.164418,-1.8282385
133,11.440528,1.6455008,11.414987,7.874969,11.757016,-2.3070986
134,11.864147,2.0159867,11.235313,7.639897,14.2849245,-2.9600503
135,11.594067,3.5670836,10.713761,6.9917116,10.621378,-0.9848999
136,11.806334,1.5841613,10.917613,8.068049,14.546852,-3.2268736
137,12.187483,2.9009426,10.437087,7.5306478,9.684676,0.42249396
138,10.823382,3.1009808,11.207903,7.7774158,14.343055,-2.8671925
139,11.357775,1.9916896,11.450338,7.7046566,12.517751,-2.3910034
140,12.203037,2.8642337,12.115481,7.6332417,9.689332,-1.348894
141,11.700023,1.8867956,11.350847,7.409446,10.461337,-1.6145985
142,12.212239,2.7575614,11.098317,7.7915945,10.797492,-1.973384
143,12.183293,2.5761359,10.846669,7.5906777,9.664531,0.21356808
144,11.094132,2.8597713,11.146318,7.4781156,12.748938,-2.0560248
145,11.022437,2.5610328,11.0829525,7.5597663,14.073508,-2.4977145
146,10.734737,2.778478,10.527913,8.754851,15.607162,-3.8722997
147,11.724682,2.7793665,10.946658,8.000137,12.600156,-2.5956285
148,12.198989,3.1701055,11.912729,7.508533,9.58056,-1.4777807
149,10.950202,2.66594,11.026174,7.614458,14.099963,-2.5162208
150,11.587488,3.2985718,11.154267,6.9141803,10.760439,-1.3238487
151,10.760688,2.7997248,10.899037,7.7407866,14.073694,-2.4993777
152,10.47266,2.3616722,10.7425165,8.274692,15.921815,-3.4659207
153,12.028367,3.2559798,11.840184,7.726001,10.864707,-1.7935318
154,11.481862,1.5935994,10.932662,8.18363,14.799547,-3.335577
155,11.65898,1.6522192,11.845766,7.4282346,10.444883,-1.7923061
156,11.462713,2.5508995,10.752624,8.168805,13.135152,-2.7403085
157,11.931022,1.8404338,11.054925,7.8925586,14.108914,-3.0547025
158,11.058306,3.222732,10.721505,8.247648,15.084471,-3.4549782
159,11.775654,1.9753416,10.766021,8.244642,13.362252,-2.9258175
160,10.906535,3.4187133,11.27428,7.7288156,14.340175,-2.9155061
161,12.182727,3.4110785,10.401671,7.279624,9.273723,0.6297361
162,11.776396,2.515791,10.979908,7.485754,11.215826,-1.8567027
163,11.61211,3.2656896,11.562732,7.0226955,10.878541,-1.6049385
164,11.898023,2.3476257,10.528168,8.175217,12.07935,-2.2878785
165,10.908569,2.6204994,10.426583,8.944419,15.440601,-3.9875886
166,12.272939,3.2303944,11.03562,7.475951,9.476029,0.26349613
167,12.058422,3.0277448,12.144673,7.247189,9.091022,-1.2005821
168,11.367896,2.742832,10.73948,7.646614,15.542215,-3.0637305
169,12.246701,2.5848727,11.103169,7.7828693,10.664635,-1.8795769
170,11.500261,1.6626472,10.813944,8.810726,14.662907,-3.861476
171,12.094791,3.4572,10.332261,7.270157,9.49174,0.38503262
172,11.235861,2.1436234,10.28855,8.951231,15.10528,-3.842371
173,11.460596,1.9595091,11.37544,7.734208,12.34884,-2.3432312
174,11.83346,3.7541869,11.40382,6.7280865,9.56291,-1.1190839
175,11.81137,1.7315409,10.91192,7.9348598,15.104485,-3.3179588
176,11.5713,2.461447,11.152536,8.097188,15.423996,-3.769745
177,11.998227,3.2912276,11.370414,7.536232,10.946654,-1.9586251
178,10.542708,2.2195385,10.821003,8.282997,15.910944,-3.5202382
179,10.639914,2.62146,11.142736,7.8111987,15.31678,-3.108657
180,11.731211,2.5931149,11.689127,6.5967574,8.421865,-0.86132807
181,10.820422,2.8975375,10.804125,7.7820177,14.38805,-2.6469977
182,11.590016,2.6443694,11.039134,8.182592,13.087368,-2.9306436
183,11.959858,3.057389,10.383913,7.094063,9.358056,-0.1957558
184,10.85279,2.8985412,11.217176,7.616252,14.629654,-2.8200643
185,10.785721,2.945334,10.584177,8.077185,16.041134,-3.4199557
186,11.743391,2.5439441,10.844944,7.6533213,11.474966,-1.6548493
187,11.976698,2.5691795,11.420082,7.823736,11.504498,-2.1229823
188,11.895289,3.1417856,10.249162,7.1536183,9.753655,-0.36232826
189,11.941855,2.9560618,10.41929,7.0885773,9.5435505,-0.48083505
190,11.821813,3.4390752,11.800713,6.5634956,9.17665,-1.279497
191,10.495537,3.007522,10.487067,8.444703,15.993491,-3.6191826
192,12.086489,2.6377423,11.756792,7.7539234,10.194262,-1.5216837
193,11.070783,2.7372406,10.680774,8.615801,15.814772,-4.0199966
194,12.220344,3.638771,11.355127,7.338736,9.302766,0.14970091
195,12.0845,4.049575,11.217737,7.16368,9.60148,-0.68988293
196,11.436076,2.377032,11.094344,7.3186026,11.043849,-1.4953915
197,11.695694,2.3651338,11.846777,6.452327,8.152714,-0.99805164
198,11.704358,2.4263794,10.98456,7.318368,10.153029,-0.7204687
199,10.850367,2.5390837,11.248114,7.962941,14.49109,-3.0858147
200,11.2686615,2.5367138,10.397914,8.388001,15.831525,-3.6663814
201,11.717487,1.9746076,11.849765,6.862863,9.363855,-0.8001193
202,12.277174,2.5178447,11.386206,7.764687,10.36447,-1.8800308
203,11.355572,3.1170392,11.406325,7.93253,14.214299,-3.2834873
204,11.899107,2.127545,10.921587,7.835593,13.437172,-2.6721523
205,11.547188,3.0111175,10.792569,8.100697,13.343522,-2.8241107
206,12.059041,2.2022583,11.280449,7.652955,13.087142,-2.6533828
207,12.110574,3.0111659,10.263691,7.5149183,9.988971,0.2859939
208,11.616224,1.9166583,10.529329,8.717105,14.148437,-3.484379
209,12.01306,3.4861634,11.27344,6.752857,8.8186245,-1.0354733
210,11.957125,2.667811,11.535682,7.374534,9.539804,-0.20229065
211,12.262039,3.7225199,12.136973,7.4488387,9.641231,-1.0327058
212,11.860839,2.5632644,10.519397,8.003236,11.735181,-2.0243998
213,11.68068,2.960931,11.660879,6.7266245,10.164605,-1.4648783
214,11.593592,2.1237733,11.911933,6.9670873,9.794532,-1.092118
215,11.6097355,2.6017392,11.497372,7.852913,14.311944,-3.3223507
216,10.796219,2.5003316,11.205446,7.6920176,13.933595,-2.5753174
217,11.666349,2.2525225,11.901877,6.4659095,8.077012,-1.0213474
218,11.535302,1.7335325,10.742075,8.808008,14.291528,-3.700759
219,11.537123,2.6232705,11.202041,6.8483853,10.029038,-0.8116324
220,11.901783,2.5922585,11.029403,7.7480536,15.039136,-3.3149266
221,11.1042795,2.4033537,11.08606,8.068257,14.139013,-3.024418
222,12.097338,1.890543,11.140525,7.7487307,14.257075,-3.05833
223,11.551289,1.6709092,11.9888525,7.132645,9.762045,-1.6343144
224,11.762638,2.2336957,11.820308,6.6277843,8.265287,-0.6336071
225,11.525453,1.9166415,11.045322,8.103639,12.540649,-2.5713148
226,11.298527,2.5589066,10.4716015,8.766963,14.723591,-3.6931455
227,11.819837,2.3658774,11.168609,7.894507,11.853158,-2.311925
228,11.932308,2.63939,11.042035,7.6064043,14.517628,-3.0080693
229,11.464217,2.1088345,11.280272,7.510162,11.294037,-1.7170949
230,11.722288,2.5608034,11.696905,6.500995,8.243154,-0.917841
231,11.556525,1.6130215,11.527259,7.6936874,10.848856,-1.963919
232,11.780887,2.3358035,11.255694,8.052209,14.233418,-3.4198115
233,12.024238,3.33467,10.564732,7.163524,9.340519,0.21233472
234,12.239561,3.5420616,12.250779,7.4385724,9.5104,-1.3563188
235,12.087844,2.4228399,10.94041,7.4723525,9.595774,-0.22484796
236,12.068087,2.7087586,12.099092,7.4533877,9.538979,-1.313279
237,11.714082,2.1989636,10.567636,8.269777,12.920348,-2.644205
238,12.239108,3.6265626,11.308007,7.4802823,9.7481,-0.04739534
239,11.872476,2.4972222,11.006166,7.3934507,10.128763,-1.1672417
240,11.59227,1.869572,11.647105,7.310281,10.551986,-1.8163402
241,11.668093,3.6088896,11.547765,7.553894,11.8945465,-2.0741518
242,11.433865,2.787879,10.7860565,7.553784,11.871136,-1.5825313
243,10.726697,2.4113235,10.363886,8.766725,15.473748,-3.6834474
244,11.876219,2.0259094,11.798292,7.2618065,9.33923,-0.60242265
245,12.107973,2.238548,11.044599,7.9325423,13.902198,-3.111127
246,11.825136,1.9647568,10.961118,7.9340773,15.209055,-3.4294603
247,11.797606,3.2113202,11.347468,7.4781623,10.837757,-1.36089
248,11.519023,1.7627791,10.733902,8.145143,15.070163,-3.291234
249,11.8806305,3.1101816,11.366916,6.81752,8.738233,-0.62528265
250,11.830268,2.207296,10.690268,7.891636,14.913547,-3.125803
251,11.092706,3.4284513,10.889631,7.658386,14.479279,-2.765171
252,11.327119,1.7100282,10.553,8.657528,15.00247,-3.625118
253,11.746871,3.1445472,10.424284,7.3989162,11.030972,-1.2190182
254,11.869537,1.7497269,10.891439,8.061574,13.478761,-2.8568978
255,11.691253,2.667353,11.850712,6.5236473,8.414732,-1.1675824
256,11.86028,3.3542829,9.980323,7.2170644,10.117468,-0.40169087
257,11.985392,2.0319877,10.716661,8.081398,13.361895,-2.7835116
258,11.633811,2.4827628,11.178429,7.9917297,15.364931,-3.670933
259,10.631922,2.2875054,10.903269,8.133885,15.994324,-3.491166
260,11.5333605,1.5785711,11.586119,7.758171,11.292513,-2.173903
261,11.298744,1.9109741,10.586282,8.281523,15.574322,-3.486585
262,11.85444,3.0991738,10.287972,7.289332,10.326493,-0.5710802
263,10.943384,1.919801,10.632324,8.69297,16.1182,-4.0143437
264,11.814239,1.9118229,11.289796,7.457762,9.996821,-1.5349604
265,11.983796,2.5574393,10.646705,7.5199413,10.167498,-0.43288764
266,12.011353,3.9173186,10.6344185,6.996982,9.319485,-0.11573567
267,10.832479,2.2773325,10.308106,8.951579,15.630828,-3.9216368
268,11.919599,1.798111,11.093012,7.7174177,14.457212,-3.0106423
269,11.851011,2.5388143,11.188027,7.186186,9.292785,-0.33855602
270,12.255808,2.3397334,11.234034,7.61556,10.210922,-1.641639
271,11.526936,3.0762658,11.183069,7.5947866,13.092162,-2.4852402
272,12.225014,3.2567515,11.178604,7.6212764,10.343256,-1.611598
273,11.861152,2.1311324,11.3694315,7.064179,9.4932,-1.1003375
274,11.56789,2.869297,11.04206,7.8636427,14.405021,-3.1498847
275,11.245227,2.860565,10.730759,7.773596,13.7761545,-2.5076442
276,11.685792,2.528519,10.877174,8.111658,12.295276,-2.507297
277,12.15464,3.4912317,11.909736,7.582334,10.209912,-1.4537901
278,12.3322,2.97831,11.51789,7.664729,10.382187,-1.8165259
279,11.933847,3.3462472,10.683845,7.531478,11.053727,-1.5374204
280,11.189402,3.1635349,10.886361,7.7544174,13.737483,-2.587507
281,10.753829,2.959906,10.542116,8.215433,16.18245,-3.5649285
282,11.78252,2.5054266,11.470808,7.3403163,11.328044,-1.961179
283,12.081742,4.0364795,11.309172,7.0236664,9.24432,-0.4492148
284,11.094415,3.1688294,10.900201,8.212433,14.302942,-3.2313368
285,10.617677,2.4542959,10.857702,8.472356,16.473183,-4.0360417
286,11.646182,3.0519595,11.234028,7.1565804,11.497217,-1.7457078
287,11.04817,2.3505158,10.175739,8.893126,15.301764,-3.7532632
288,11.849974,2.023665,11.275575,7.5533423,10.368323,-1.5946949
289,10.544771,2.355686,10.957087,8.484146,16.31739,-3.996872
290,11.9861555,3.2236028,12.010639,6.995214,8.845573,-0.8524972
291,12.172878,2.6079555,11.817212,7.7726407,9.991441,-1.1451565
292,11.871634,1.9859291,11.880151,7.323595,9.574307,-1.7622528
293,11.786606,2.2642035,11.359089,7.721135,10.855056,-2.058492
294,11.552417,1.8795791,10.628147,8.2015915,14.022691,-2.954589
295,11.218877,2.4712899,10.291629,8.775554,14.232624,-3.383703
296,11.331462,2.0241745,11.55532,7.5268807,12.737728,-2.3318715
297,12.2495365,3.1224437,11.638739,7.6941624,9.7478895,-1.2274344
298,12.096149,3.9274507,11.859018,7.270306,9.765177,-0.9548286
299,11.529207,3.3057053,10.538131,7.2727776,11.424422,-1.3302386
300,11.841353,2.7393532,11.857808,7.264095,9.549523,-0.3126674
301,11.916399,2.7150476,11.202289,7.8395424,11.966502,-2.2281818
302,12.011607,3.0929978,10.830754,7.5709047,10.865595,-1.5280485
303,12.139131,2.6548219,11.082696,7.500528,9.587758,0.122766204
304,10.992437,2.014066,10.685716,8.771428,16.308826,-4.242392
305,12.0239105,3.1742775,10.836907,7.004768,8.940271,0.10355031
306,12.081641,3.689005,10.395513,7.1025925,9.220698,0.262568
307,12.030578,3.2354472,10.75237,6.9732013,8.820179,0.19495235
308,11.899373,2.5567822,10.947802,7.624188,15.074116,-3.1525488
309,11.276481,2.4264264,10.174226,8.643271,14.940486,-3.4596274
310,12.154425,2.7323723,11.1488905,7.3812995,9.225102,0.26498073
311,11.225071,2.9397478,10.876517,7.817354,15.73578,-3.3701355
312,11.452434,3.307662,11.205179,7.6147027,14.186582,-2.9130085
313,11.803538,2.7437847,10.487081,7.432184,10.554178,-0.81306
314,11.016364,2.0663612,10.670165,8.738944,16.272978,-4.1977262
315,12.176059,3.0069673,12.003865,7.7167187,10.097775,-1.5971372
316,10.97008,1.9449942,10.569421,9.02478,15.553222,-4.123708
317,11.805849,2.9027152,11.705432,6.5644403,8.6047735,-1.0990838
318,11.507114,2.0897272,11.014242,7.5677915,14.932173,-2.8641787
319,11.419828,1.6856757,10.592342,8.407771,14.970511,-3.406638
320,11.193404,1.8977458,10.363947,8.903852,14.934411,-3.7238855
321,12.212421,2.9895978,10.702178,7.3776445,9.243863,0.57708764
322,11.630072,1.8003377,12.125438,7.034349,9.042671,-1.1027662
323,12.058819,3.7798398,10.768671,7.2261367,9.692175,-0.5269402
324,12.01578,2.3368998,12.104095,7.6289344,9.94345,-1.8029926
325,12.21585,2.9334168,12.215484,7.7037673,9.93986,-1.5891135
326,11.897071,2.9498506,11.2756605,6.7906547,8.628133,-0.41357717
327,11.826105,2.606001,10.807575,7.8445153,12.213839,-2.2597694
328,11.937853,2.7558944,11.770895,7.3073854,9.30939,-0.7658872
329,11.878312,2.524496,10.863071,7.350861,9.868505,-0.39596233
330,12.13601,3.3018126,11.636245,7.354144,9.3986,-0.16253409
331,11.532989,1.860619,10.76307,7.9892697,15.179222,-3.232015
332,12.031671,2.7126548,10.801364,7.886978,11.814114,-2.0669358
333,11.7419405,1.7039375,11.289826,7.9269643,13.288853,-2.8510106
334,11.336908,1.7706907,10.754405,8.950205,15.212846,-4.141584
335,11.024162,2.1077895,10.276899,8.995153,15.211637,-3.8401313
336,11.604206,2.6007671,11.108974,7.719605,11.253017,-1.9285756
337,12.289526,2.881044,11.370769,7.6736045,9.694638,-0.015495735
338,11.920074,2.5399275,10.533851,8.0424,11.928002,-2.0870373
339,12.2741,2.8340309,11.608145,7.5804024,10.260288,-1.80642
340,11.578407,1.9018289,10.468959,8.247967,14.838755,-3.224922
341,11.520511,1.7638389,11.95507,7.100387,9.653126,-1.6918713
342,11.33402,2.481704,11.217548,7.705308,14.104338,-2.831322
343,11.422163,3.297601,11.074828,7.5497503,13.683725,-2.5692244
344,11.210719,3.3038063,11.430766,7.582861,13.174272,-2.478526
345,11.654132,2.7901363,10.694555,7.4516964,11.167785,-1.1143178
346,12.331549,3.168203,11.952873,7.56994,9.304013,-0.3015759
347,11.534452,2.5412054,11.409268,7.5500126,12.373917,-2.2199223
348,11.948488,3.2718112,10.217786,7.2687984,9.922664,-0.06894076
349,12.045858,2.908036,11.061236,7.1115828,9.023856,0.15814303
350,11.479874,2.697625,10.50254,8.429027,15.425415,-3.708209
351,11.29693,2.0158734,10.488933,8.836062,15.452101,-3.974397
352,10.7453985,2.0004485,10.647428,8.744959,16.136076,-4.0210853
353,11.788316,2.065569,11.059044,7.617635,14.875532,-3.0323246
354,12.091195,3.1549509,10.187136,7.3688087,9.70117,0.14716823
355,11.6706,3.129509,11.050755,7.5765176,14.196417,-2.846636
356,11.801022,2.324682,11.816124,6.7733455,8.389238,-0.67257285
357,12.016153,3.0858614,10.891434,7.0423417,8.96714,0.08935027
358,11.70795,2.023763,11.765558,6.9969397,9.552166,-0.9133183
359,12.017358,2.7002556,10.687729,7.28709,9.600187,-0.14472957
360,11.780988,3.385419,10.890074,7.255982,10.7557,-1.361947
361,11.893184,2.9982603,11.5924015,6.640801,8.509645,-0.9257186
362,12.237994,3.131343,10.722425,7.4704595,9.423029,0.625471
363,11.80833,2.9589145,11.530646,7.636839,11.005786,-1.3442178
364,12.017006,3.2063823,10.115332,7.3860564,10.042053,0.11584178
365,11.806908,3.3044963,11.686733,6.8835583,10.456461,-1.6657606
366,11.728045,2.4209807,11.72898,6.6082983,8.572221,-0.92131
367,11.914967,2.4147997,11.606167,6.8858905,8.519939,-0.24793649
368,12.330587,3.4830625,12.322324,7.6371884,9.719117,-1.346566
369,11.702419,2.1406813,11.692444,7.1541486,9.638648,-1.7826085
370,11.151412,2.7284331,10.992475,8.012268,15.760831,-3.5916517
371,11.9868555,3.8266177,10.776798,6.940378,9.167333,-0.26470575
372,11.668017,2.447519,11.138429,7.62253,13.354507,-2.5363457
373,11.803757,3.5262403,10.812881,7.3252025,10.868186,-1.5299726
374,11.205747,1.9408971,10.491768,8.895793,14.771951,-3.7375898
375,11.09407,1.9875596,10.87685,8.448376,16.176468,-3.9958205
376,11.646028,2.0858319,12.022932,6.865601,8.80888,-1.1301453
377,12.174103,3.0451891,11.633933,7.7593565,10.12068,-1.6114174
378,11.354812,1.8262347,11.212805,7.9293265,14.946769,-3.2983947
379,12.300732,3.4130688,11.884833,7.5621696,9.471313,-1.0871378
380,10.836777,3.396375,11.2253,7.7905335,15.013679,-3.1927967
381,11.684775,2.4988449,11.629031,6.6029544,8.695602,-0.825434
382,11.420066,2.727659,11.130289,7.840351,14.335982,-3.0556102
383,12.014674,3.4170578,10.462074,7.133941,9.333831,0.3198767
384,11.606739,1.5978752,11.762758,7.3392763,10.2371435,-1.6627595
385,11.075417,3.3627357,10.656713,8.120207,15.0149145,-3.2756639
386,10.702703,2.518298,11.202404,7.801044,14.913329,-2.9931183
387,11.636676,1.7777251,11.350246,7.887101,11.466603,-2.2163074
388,11.95961,3.147449,11.409332,6.8885365,8.910554,-1.1483763
389,11.505124,2.3663962,10.328831,8.574248,15.250867,-3.6645427
390,11.108839,1.8670037,10.656913,8.982733,15.6468,-4.2101274
391,11.952978,3.921717,11.437719,7.1694956,9.903454,-0.7063463
392,12.2631855,2.4926515,11.025414,7.801212,10.599071,-1.8206488
393,11.625574,2.2031198,11.166965,8.349681,14.369926,-3.6063895
394,11.669238,2.1017323,11.9333315,6.701825,8.491326,-0.94312376
395,10.869089,2.3717866,11.2152815,7.767465,14.556151,-2.8833823
396,11.579802,2.864573,10.935838,7.8655605,13.947181,-2.9120772
